feature_or_group,n_cols,base_score,importance_mean,importance_std,base_mae,imp_mae_mean,imp_mae_std,model
Personas_25-64,1,0.6094090399294487,0.025473291096821917,0.0005048057311762766,0.17336877880176377,0.005918828225285054,0.00012754024323607127,HGB_best
IX_TOT,1,0.6094090399294487,0.02434339030749633,0.0005584587677256194,0.17336877880176377,0.0059419199035990146,0.00012145096251680007,HGB_best
VIVIENDA_HOGAR,8,0.6094090399294487,0.024211745402557647,0.0005929446106247437,0.17336877880176377,0.005928395547006287,0.00013566248793697594,HGB_best
CH07,1,0.6094090399294487,0.022116389797800298,0.0005270496092084986,0.17336877880176377,0.005565785083794434,0.00013540798832143125,HGB_best
TRIMESTRE,1,0.6094090399294487,0.017053490425721407,0.00045432350453689075,0.17336877880176377,0.00516008782700767,0.00012019583277428222,HGB_best
AGLO_rk,1,0.6094090399294487,0.016168570921463305,0.000462815765022609,0.17336877880176377,0.004600606920567328,0.00010224990136910506,HGB_best
Reg_rk,1,0.6094090399294487,0.014039008120076553,0.0004093147226776091,0.17336877880176377,0.003956707482760877,0.00011256921363298051,HGB_best
Personas_65+,1,0.6094090399294487,0.011376572167967836,0.000344634909536062,0.17336877880176377,0.003323689754920121,8.607928066652023e-05,HGB_best
AGLOMERADO,1,0.6094090399294487,0.01125297385676956,0.0003855441456178179,0.17336877880176377,0.00304148858729897,0.00010966761990599327,HGB_best
Max_Nivel_Educativo,1,0.6094090399294487,0.010815051243047729,0.00035105663321562054,0.17336877880176377,0.0028395513872099486,0.00010846071165548509,HGB_best
H16,1,0.6094090399294487,0.01054435563213257,0.0004617047588619934,0.17336877880176377,0.0024870956890763797,0.00012266242991521644,HGB_best
Personas_4-8,1,0.6094090399294487,0.007683452186666706,0.00027450724743444203,0.17336877880176377,0.0021700047591244926,5.466005374023949e-05,HGB_best
Personas_13-17,1,0.6094090399294487,0.006563869493318438,0.0002811766845608533,0.17336877880176377,0.0018511518101020428,7.477885418681089e-05,HGB_best
Personas_9-12,1,0.6094090399294487,0.006537585970408788,0.0002828243974960127,0.17336877880176377,0.0019414062279604146,7.154675559904371e-05,HGB_best
PROP,1,0.6094090399294487,0.0053307458161041465,0.0002989078124468242,0.17336877880176377,0.0012632362646672751,6.389104445887721e-05,HGB_best
Personas_0-3,1,0.6094090399294487,0.005057938846469527,0.00019467311876956045,0.17336877880176377,0.0014008913685377036,6.512834677805652e-05,HGB_best
Personas_18-24,1,0.6094090399294487,0.004644619844863166,0.00019015483393971703,0.17336877880176377,0.0012004683372547962,6.176396227235258e-05,HGB_best
H15,1,0.6094090399294487,0.0035074051331766666,0.00018660152372542335,0.17336877880176377,0.0009223834787783612,5.088310847345687e-05,HGB_best
Region,1,0.6094090399294487,0.002904544997793956,0.00016707297423519373,0.17336877880176377,0.0007542712022170568,3.851555516266729e-05,HGB_best
V01,1,0.6094090399294487,0.0024698123921408095,0.00016762767043554795,0.17336877880176377,0.0006436413290250206,3.78947800860144e-05,HGB_best
P05,1,0.6094090399294487,0.002298483643558813,0.00010870227627684559,0.17336877880176377,0.0005244113447928892,3.159749514468132e-05,HGB_best
ESTRUCTURA_LABORAL,3,0.5118818377250128,0.5465331380566811,0.0032323828103277526,0.1977744889569705,0.09880170975667141,0.0005765499276383841,Ridge_best
CALIDAD_LABORAL,1,0.5118818377250128,0.12855568505566028,0.0014800147769866226,0.1977744889569705,0.0263018357546988,0.0002835935810754195,Ridge_best
P03,1,0.5118818377250128,0.08861648900630387,0.0009038226728520746,0.1977744889569705,0.019452441539820634,0.0002541328060828059,Ridge_best
EDUCACION,2,0.5118818377250128,0.08068526826592604,0.0010229148950832733,0.1977744889569705,0.0178341926504491,0.0002856419100531993,Ridge_best
P02,1,0.5118818377250128,0.030051891195262505,0.0005562082129240387,0.1977744889569705,0.00696241442898847,0.0001707615604270527,Ridge_best
AGLO_rk,1,0.5118818377250128,0.022657356517602548,0.0006380069912044844,0.1977744889569705,0.005639665750181154,0.0001643519990269957,Ridge_best
Region,1,0.5118818377250128,0.02217050520760144,0.0005517206971529287,0.1977744889569705,0.005425645885465928,0.0001405397411599891,Ridge_best
AGLOMERADO,1,0.5118818377250128,0.020116574237751452,0.0005289242823826929,0.1977744889569705,0.005105817804788335,0.00015188607156488935,Ridge_best
CH07,1,0.5118818377250128,0.013053370044747629,0.0004178487188280537,0.1977744889569705,0.002723932548065481,0.00010819789998069507,Ridge_best
ANO4,1,0.5118818377250128,0.010971257797350531,0.00041104547754160697,0.1977744889569705,0.0025341377470234415,0.00010825096242787602,Ridge_best
Personas_25-64,1,0.5118818377250128,0.008975389241748863,0.00028206385040678984,0.1977744889569705,0.0017149083811618475,7.688735108881946e-05,Ridge_best
VIVIENDA_HOGAR,8,0.5118818377250128,0.0076757265619897186,0.00032854697435860745,0.1977744889569705,0.0013994863745241013,8.52888999072269e-05,Ridge_best
IX_TOT,1,0.5118818377250128,0.005200585312875398,0.00020377348753235203,0.1977744889569705,0.0008715800659692732,6.548888705564494e-05,Ridge_best
Personas_4-8,1,0.5118818377250128,0.004589379875168883,0.00026590800765555086,0.1977744889569705,0.0011498765026491016,6.886844022636489e-05,Ridge_best
